0.9685984063	7885 7886
0.9684365584	4907 6392
0.9680501827	1366 1367
0.9640535406	6341 6342
0.9636189423	4237 4238 4580
0.9634231589	5384 5385
0.9601491466	103 118
0.9597385412	1267 1268
0.9592934886	2116 2117
0.9585141574	4120 5373
0.9581512259	4237 4238 4239
0.9574176148	875 1327
0.9563858120	848 1301
0.9559959126	4043 3704 197
0.9545629181	4553 4261
0.9540938610	4508 5874
0.9540759707	298 299
0.9540559673	2350 6134
0.9532968134	5016 785
0.9530879947	4013 4014
0.9516459199	2229 6101
0.9516273293	5056 5057
0.9511646693	2263 3540
0.9494327828	6818 6820
0.9490008690	4037 2826 340
0.9476975077	5433 952
0.9466269028	811 1187
0.9464050771	3968 3969
0.9462952090	2314 3948
0.9461572867	1310 818
0.9431666795	3163 3928
0.9428666696	582 927
0.9428366553	3376 134
0.9420681876	3274 3874
0.9419570320	10690 20594
0.9412567876	180 319
0.9410683378	3706 4119
0.9398346588	4036 113
0.9395934422	4472 245
0.9367212908	3840 785
0.9365981121	2229 3943
0.9361317405	3025 3781
0.9340838978	4058 14219
0.9309614166	761 5328
0.9292549017	6714 890
0.9290548122	2798 4261
0.9281781760	3783 3965
0.9270408621	3593 3599
0.9269573317	1418 818
0.9269390859	251 1016
0.9267034126	14223 3507 3213 3599
0.9266622436	924 582 927
0.9262678174	3543 3540
0.9261051270	4400 3742
0.9253644231	13401 5391
0.9252087320	2211 2213
0.9247493902	1786 4043
0.9242554995	5016 890
0.9239092947	3025 1182
0.9214123205	1369 6713
0.9211972341	5490 669
0.9208194228	4070 4654
0.9205971733	5648 1107
0.9191403392	340 1814
0.9189688236	5277 14
0.9182075483	5505 5506
0.9176198841	3840 890
0.9173027581	1186 1187
0.9156581145	4508 5874 113
0.9144911544	3515 3599
0.9107155153	1013 4390
0.9096495440	811 259
0.9090666336	1031 4043
0.9076924261	3929 491
0.9073969206	10861 4254
0.9062535103	6724 5983
0.9052510556	1013 4384
0.9024519968	560 564
